NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201012168,2020,3.71,3.71,161.0,153.0,153.0,3.52,3.65,3.61,3.66,3.85,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012170,2020,3.77,3.77,159.0,153.0,153.0,3.73,3.7,3.77,3.7,3.85,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012175,2020,3.67,3.67,161.0,153.0,153.0,3.59,3.73,3.71,3.69,3.59,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012179,2020,3.79,3.79,161.0,153.0,153.0,3.7,3.69,3.85,3.88,3.8,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201021001,2020,3.91,3.91,36.0,36.0,36.0,3.96,3.88,4.0,3.84,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021002,2020,3.97,3.97,36.0,36.0,36.0,3.96,3.96,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021003,2020,3.92,3.92,36.0,36.0,36.0,3.96,3.92,4.0,3.84,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021004,2020,3.89,3.89,36.0,36.0,36.0,3.84,3.84,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021005,2020,3.97,3.97,36.0,36.0,36.0,4.0,3.92,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021006,2020,3.93,3.93,36.0,36.0,36.0,3.96,3.96,4.0,3.84,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021007,2020,3.95,3.95,36.0,36.0,36.0,3.96,3.88,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
